RC1,NPorV,REG,log_NPorV,unlogged,Item,Participant
O,V,R4,2.615308119,0.412389994,10,4
O,V,R4,2.73730414,0.546140194,80,4
O,V,R4,2.810334706,0.64615202,100,4
O,V,R4,2.537644122,0.344861031,20,4
O,V,R4,2.709548217,0.512328148,30,4
O,V,R4,2.798911613,0.62937808,40,4
O,V,R4,2.614971036,0.412070036,90,4
O,V,R4,2.799186765,0.629776955,70,4
O,V,R4,2.538649089,0.345659971,50,4
O,V,R4,2.798361941,0.628582001,60,5
O,V,R4,2.632304383,0.428848982,40,5
O,V,R4,2.648362971,0.445003033,65,5
O,V,R4,2.631977342,0.428526163,20,5
O,V,R4,2.736943766,0.545687199,5,5
O,V,R4,2.596846556,0.395226955,100,5
O,V,R4,2.736391623,0.544993877,25,5
O,V,R4,2.614840351,0.411946058,45,5
O,V,R4,2.66396742,0.461282969,80,5
O,V,R4,2.774851157,0.595458031,85,5
O,V,R4,2.614244236,0.411381006,95,6
O,V,R4,2.57680208,0.37740016,65,6
O,V,R4,2.647793459,0.444419861,5,6
O,V,R4,2.664529128,0.461879969,55,6
O,V,R4,2.694471831,0.494848013,35,6
O,V,R4,2.663879868,0.461189985,15,6
O,V,R4,2.831630381,0.678625822,85,6
O,V,R4,2.648175622,0.444811106,45,6
O,V,R4,3.051463135,1.125804901,25,6
O,V,R4,2.492676632,0.310940027,75,6
O,V,R4,2.832096259,0.679354191,5,7
O,V,R4,2.961136265,0.914400101,45,7
