Rctype,RC1,RC2,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,R23467810,log_R23467810,R234678,log_R234678,RC1_rt,log_RC1_rt,RC2_rt,log_RC2_rt,R3478,log_R3478,R78,log_R78,R34,log_R34
SS,S,S,20,77,97,2,0,1,0,0,mismatch1,1,0.427251101,0.328866005,0.913836002,0.409126043,0.574548006,0.446120977,0.579086065,0.459939003,0.443748951,0.476364136,n,2.104505062,2.630683191,2.517018983,2.960868264,2.611857125,2.759326322,2.649452645,2.762743114,2.662700239,2.647137339,2.677939057,3.613338231,3.557908616,3.136974095,3.496510932,1.65182805,3.217964837,1.485146045,3.171769163,2.361987113,3.373277524,1.039025068,3.016626026,1.322962045,3.121547385
SS,S,S,4,13,17,2,0,1,0,0,mismatch2,1,0.443822145,0.411477089,0.311497927,0.292975903,0.658204794,0.563282967,0.478702068,0.293002129,0.410423994,0.710726023,n,1.936717033,2.647208968,2.614345659,2.493455161,2.466831901,2.818361041,2.750726619,2.680065304,2.466870776,2.613232742,2.851702217,3.061664106,3.485957543,2.350938083,3.371241191,1.015950919,3.006872728,1.334987164,3.12547709,1.376178027,3.138674619,0.771704197,2.887450862,0.60447383,2.781377503
OO,O,O,18,70,88,2,1,0,0,0,match,1,0.456622124,0.513036013,0.610406876,0.428443193,0.611886978,0.395856142,0.56102109,0.444874048,0.492762089,1.061458826,y,4.878874063,2.65955695,2.710147852,2.785619417,2.631893247,2.786671211,2.597537388,2.748979188,2.648237072,2.692637288,3.025903153,4.015096188,3.603695954,2.953637362,3.470357173,1.551886082,3.190859838,1.40175128,3.146670961,2.044745207,3.310639199,1.005895138,3.002552709,1.038850069,3.016552873
SO,S,O,14,55,69,2,0,1,0,0,match,1,0.46074295,0.579946995,0.46212697,0.342413902,0.310723066,0.345740795,1.112776995,0.428531885,0.342083931,0.425956011,y,2.00351119,2.663458699,2.763388302,2.664761315,2.534551389,2.492373494,2.538750626,3.046408139,2.631983141,2.534132674,2.629364751,3.697493553,3.567907425,3.271537542,3.514751908,1.384487867,3.141289154,1.887049675,3.275783333,2.345849752,3.370300193,1.54130888,3.187889681,0.804540872,2.905548112
OO,O,O,6,22,28,2,1,0,0,0,match,1,0.509162903,0.446082115,0.644624949,0.395153046,0.427848101,0.529720068,1.179867983,0.79632616,0.358752012,0.292355061,y,2.608590841,2.706856754,2.649414811,2.80930711,2.596765334,2.631289609,2.724046426,3.071833416,2.901090983,2.554794345,2.465910616,4.284129382,3.631862578,3.991774321,3.60116598,1.48586011,3.171977924,2.505914211,3.398966199,3.015972138,3.479427325,1.976194143,3.295829608,1.039777995,3.016940622
SS,S,S,9,33,42,2,1,0,0,0,mismatch2,1,0.510485172,0.680490017,0.461908102,0.56047821,0.493084192,5.865948915,0.495579958,0.544126034,0.693283081,0.476310968,n,4.182020903,2.707983132,2.832821758,2.66455558,2.748558733,2.69292108,3.768338277,2.695113735,2.735699505,2.840910602,2.677890582,9.084842204,3.958317388,8.608531236,3.93492906,1.702876329,3.231183109,6.905654907,3.839204872,2.062092304,3.314308101,1.039705992,3.016910547,1.022386312,3.009615026
SO,S,O,15,59,74,2,1,0,0,0,mismatch1,1,0.527547121,0.446158171,0.394870043,0.426898956,0.794828892,0.429521084,0.410226107,0.478890896,1.144634008,0.476145029,n,4.761792898,2.722261257,2.649488851,2.596454187,2.630325093,2.900273645,2.632984487,2.613023296,2.680236581,3.058666645,2.677739255,3.062710286,3.486105917,2.586565257,3.41272344,1.26792717,3.103094308,1.318638087,3.120125616,1.710886002,3.233221073,0.889117003,2.948958916,0.821768999,2.914749754
OO,O,O,2,6,8,2,1,0,0,0,match,1,0.544142962,0.412682056,0.309533119,0.328380823,0.427821159,0.563119173,0.81164217,0.428641796,0.576151848,0.309186935,y,1.702966928,2.735713016,2.615615586,2.490707124,2.516377787,2.63126226,2.750600314,2.909364603,2.632094516,2.760536959,2.490221134,3.163186072,3.50012474,2.853999137,3.455453837,1.050595998,3.021435742,1.803403139,3.256092821,1.878197908,3.273741352,1.240283966,3.093521129,0.637913942,2.804762094
OS,O,S,7,28,35,2,0,1,0,0,mismatch1,1,0.559771061,0.429188967,0.309792995,0.361761808,0.393205166,0.329003811,0.395087957,0.372534037,0.274070024,0.326239109,n,2.275416851,2.748010443,2.632648549,2.491071593,2.558422716,2.594619215,2.517200929,2.596693792,2.571165959,2.437861538,2.513536022,2.523608684,3.402022013,2.197369575,3.341903107,1.10074377,3.041686236,1.096625805,3.040058461,1.439176797,3.158114149,0.767621994,2.88514741,0.671554803,2.82708146
SS,S,S,5,17,22,2,1,0,0,0,mismatch2,1,0.609686136,0.429401159,0.930107832,0.44363308,0.710675001,0.747327805,1.197999954,0.526994944,0.509001017,0.526622057,n,4.630043983,2.785106319,2.632863212,2.968533301,2.647023922,2.851671039,2.873511141,3.078456801,2.721806449,2.70671865,2.721499045,4.802086831,3.681430009,4.275464774,3.630983333,1.803142071,3.256029946,2.472322703,3.393105157,3.09873581,3.491184551,1.724994898,3.236787815,1.373740912,3.137904832
